benchmark,policy,skewness,rotation,repeat,combo_id,benchmark_variant,combo_counts,skew_map,workload_core_map,noise_rate_map,ccd0_noise_bandwidth_mbs,ccd1_noise_bandwidth_mbs,ccd2_noise_bandwidth_mbs,ccd3_noise_bandwidth_mbs,total_noise_bandwidth_mbs,primary_metric_name,primary_metric_value,npb_time_s,mops_total,verification,slowdown_vs_skew0
skiplist-rw50,eevdf,0,2,1,eevdf,skiplist-mlnr1-scaleout-wr50,dynamic,"ccd0=50,ccd1=50,ccd2=50,ccd3=50","mask:0-3,7-10,14-17,21-24",ccd0:220;ccd1:220;ccd2:220;ccd3:220,14525.520000,13660.000000,14523.150000,14481.590000,57190.260000,throughput_mops,0.793408,,0.793408,OK,1.000000
skiplist-rw50,same-chiplet,25,2,1,same-chiplet-rot1,skiplist-mlnr1-scaleout-wr50,"ccd0=0,ccd1=4,ccd2=4,ccd3=1","ccd0=55,ccd1=60,ccd2=40,ccd3=45","ccd0:;ccd1:7,8,9,10;ccd2:14,15,16,17;ccd3:21",ccd0:176;ccd1:132;ccd2:332;ccd3:276,17922.120000,23682.100000,9216.460000,11646.970000,62467.650000,throughput_mops,0.917696,,0.917696,OK,1.008194
skiplist-rw50,same-chiplet,25,2,1,same-chiplet-rot2,skiplist-mlnr1-scaleout-wr50,"ccd0=4,ccd1=4,ccd2=1,ccd3=0","ccd0=55,ccd1=60,ccd2=40,ccd3=45","ccd0:0,1,2,3;ccd1:7,8,9,10;ccd2:14;ccd3:",ccd0:176;ccd1:132;ccd2:332;ccd3:276,17856.150000,23708.450000,9216.780000,11640.080000,62421.460000,throughput_mops,0.900576,,0.900576,OK,1.027360
skiplist-rw50,same-chiplet,25,2,1,same-chiplet-rot3,skiplist-mlnr1-scaleout-wr50,"ccd0=4,ccd1=1,ccd2=0,ccd3=4","ccd0=55,ccd1=60,ccd2=40,ccd3=45","ccd0:0,1,2,3;ccd1:7;ccd2:;ccd3:21,22,23,24",ccd0:176;ccd1:132;ccd2:332;ccd3:276,17807.690000,23730.200000,9216.860000,11650.460000,62405.210000,throughput_mops,0.901376,,0.901376,OK,1.026448
skiplist-rw50,same-chiplet,50,2,1,same-chiplet-rot0,skiplist-mlnr1-scaleout-wr50,"ccd0=1,ccd1=0,ccd2=4,ccd3=4","ccd0=60,ccd1=70,ccd2=30,ccd3=40","ccd0:0;ccd1:;ccd2:14,15,16,17;ccd3:21,22,23,24",ccd0:132;ccd1:44;ccd2:444;ccd3:332,23663.750000,33361.840000,7011.360000,9219.320000,73256.270000,throughput_mops,0.937600,,0.937600,OK,0.986792
skiplist-rw50,same-chiplet,50,2,1,same-chiplet-rot1,skiplist-mlnr1-scaleout-wr50,"ccd0=0,ccd1=4,ccd2=4,ccd3=1","ccd0=60,ccd1=70,ccd2=30,ccd3=40","ccd0:;ccd1:7,8,9,10;ccd2:14,15,16,17;ccd3:21",ccd0:132;ccd1:44;ccd2:444;ccd3:332,23726.060000,33285.450000,7011.300000,9216.200000,73239.010000,throughput_mops,0.784544,,0.784544,OK,1.179304
skiplist-rw50,same-chiplet,50,2,1,same-chiplet-rot2,skiplist-mlnr1-scaleout-wr50,"ccd0=4,ccd1=4,ccd2=1,ccd3=0","ccd0=60,ccd1=70,ccd2=30,ccd3=40","ccd0:0,1,2,3;ccd1:7,8,9,10;ccd2:14;ccd3:",ccd0:132;ccd1:44;ccd2:444;ccd3:332,23633.720000,33152.760000,7012.990000,9214.680000,73014.150000,throughput_mops,0.810400,,0.810400,OK,1.141678
skiplist-rw50,same-chiplet,50,2,1,same-chiplet-rot3,skiplist-mlnr1-scaleout-wr50,"ccd0=4,ccd1=1,ccd2=0,ccd3=4","ccd0=60,ccd1=70,ccd2=30,ccd3=40","ccd0:0,1,2,3;ccd1:7;ccd2:;ccd3:21,22,23,24",ccd0:132;ccd1:44;ccd2:444;ccd3:332,23675.530000,33143.190000,7013.010000,9219.330000,73051.060000,throughput_mops,0.799296,,0.799296,OK,1.157539
skiplist-rw50,same-chiplet,75,2,1,same-chiplet-rot0,skiplist-mlnr1-scaleout-wr50,"ccd0=1,ccd1=0,ccd2=4,ccd3=4","ccd0=65,ccd1=80,ccd2=20,ccd3=35","ccd0:0;ccd1:;ccd2:14,15,16,17;ccd3:21,22,23,24",ccd0:88;ccd1:10;ccd2:400;ccd3:388,33694.940000,29004.590000,7741.870000,8336.440000,78777.840000,throughput_mops,0.669696,,0.669696,OK,1.381546
skiplist-rw50,same-chiplet,75,2,1,same-chiplet-rot1,skiplist-mlnr1-scaleout-wr50,"ccd0=0,ccd1=4,ccd2=4,ccd3=1","ccd0=65,ccd1=80,ccd2=20,ccd3=35","ccd0:;ccd1:7,8,9,10;ccd2:14,15,16,17;ccd3:21",ccd0:88;ccd1:10;ccd2:400;ccd3:388,33920.420000,28884.910000,7740.350000,8336.960000,78882.640000,throughput_mops,0.916832,,0.916832,OK,1.009145
skiplist-rw50,same-chiplet,75,2,1,same-chiplet-rot2,skiplist-mlnr1-scaleout-wr50,"ccd0=4,ccd1=4,ccd2=1,ccd3=0","ccd0=65,ccd1=80,ccd2=20,ccd3=35","ccd0:0,1,2,3;ccd1:7,8,9,10;ccd2:14;ccd3:",ccd0:88;ccd1:10;ccd2:400;ccd3:388,33655.590000,28904.300000,7742.360000,8330.320000,78632.570000,throughput_mops,0.678368,,0.678368,OK,1.363885
skiplist-rw50,same-chiplet,75,2,1,same-chiplet-rot3,skiplist-mlnr1-scaleout-wr50,"ccd0=4,ccd1=1,ccd2=0,ccd3=4","ccd0=65,ccd1=80,ccd2=20,ccd3=35","ccd0:0,1,2,3;ccd1:7;ccd2:;ccd3:21,22,23,24",ccd0:88;ccd1:10;ccd2:400;ccd3:388,33653.800000,28932.150000,7739.610000,8337.930000,78663.490000,throughput_mops,0.665824,,0.665824,OK,1.389580
skiplist-rw50,same-chiplet,100,2,1,same-chiplet-rot0,skiplist-mlnr1-scaleout-wr50,"ccd0=1,ccd1=0,ccd2=4,ccd3=4","ccd0=75,ccd1=100,ccd2=0,ccd3=25","ccd0:0;ccd1:;ccd2:14,15,16,17;ccd3:21,22,23,24",ccd0:0;ccd1:50;ccd2:0;ccd3:500,27021.150000,34439.430000,27352.630000,6267.720000,95080.930000,throughput_mops,0.825472,,0.825472,OK,1.120833
skiplist-rw50,same-chiplet,100,2,1,same-chiplet-rot1,skiplist-mlnr1-scaleout-wr50,"ccd0=0,ccd1=4,ccd2=4,ccd3=1","ccd0=75,ccd1=100,ccd2=0,ccd3=25","ccd0:;ccd1:7,8,9,10;ccd2:14,15,16,17;ccd3:21",ccd0:0;ccd1:50;ccd2:0;ccd3:500,27079.190000,34183.040000,27364.450000,6268.040000,94894.720000,throughput_mops,0.696640,,0.696640,OK,1.328112
skiplist-rw50,same-chiplet,100,2,1,same-chiplet-rot2,skiplist-mlnr1-scaleout-wr50,"ccd0=4,ccd1=4,ccd2=1,ccd3=0","ccd0=75,ccd1=100,ccd2=0,ccd3=25","ccd0:0,1,2,3;ccd1:7,8,9,10;ccd2:14;ccd3:",ccd0:0;ccd1:50;ccd2:0;ccd3:500,27014.440000,34181.710000,27356.630000,6265.240000,94818.020000,throughput_mops,0.707360,,0.707360,OK,1.307985
skiplist-rw50,same-chiplet,100,2,1,same-chiplet-rot3,skiplist-mlnr1-scaleout-wr50,"ccd0=4,ccd1=1,ccd2=0,ccd3=4","ccd0=75,ccd1=100,ccd2=0,ccd3=25","ccd0:0,1,2,3;ccd1:7;ccd2:;ccd3:21,22,23,24",ccd0:0;ccd1:50;ccd2:0;ccd3:500,27027.990000,34240.390000,27406.130000,6267.470000,94941.980000,throughput_mops,0.708576,,0.708576,OK,1.305740
