scenario,policy,benchmark,placement_tag,placement_detail,omp_threads,repeat,trial_time_s,perf_sched_status,perf_sched_trace_path,perf_sched_cpus
busy-cores,same-chiplet,cc,taskset-21-27,taskset -c 21-27,3,3,0.182070,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/busy-cores__same-chiplet__cc__taskset-21-27__r3__perf.timehist.log,"21,22,23"
busy-cores,same-chiplet,cc,taskset-21-27,taskset -c 21-27,3,4,0.185330,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/busy-cores__same-chiplet__cc__taskset-21-27__r4__perf.timehist.log,"21,22,23"
busy-cores,same-chiplet,cc,taskset-21-27,taskset -c 21-27,3,5,0.196130,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/busy-cores__same-chiplet__cc__taskset-21-27__r5__perf.timehist.log,"21,22,23"
busy-cores,eevdf,pr,,,3,1,0.607180,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__eevdf__pr__r1__perf.timehist.log,"0,3,7,20,21,23,27"
busy-cores,eevdf,pr,,,3,2,0.582430,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__eevdf__pr__r2__perf.timehist.log,"0,1,3,5,14,17,20,21,22,27"
busy-cores,eevdf,pr,,,3,3,0.861730,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__eevdf__pr__r3__perf.timehist.log,"0,4,19,20,21,22,23,27"
busy-cores,eevdf,pr,,,3,4,0.591920,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__eevdf__pr__r4__perf.timehist.log,"0,2,3,7,20,23,26,27"
busy-cores,eevdf,pr,,,3,5,0.711870,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__eevdf__pr__r5__perf.timehist.log,"0,1,2,4,8,21,22,27"
busy-cores,optimal,pr,,,3,1,0.349950,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__optimal__pr__r1__perf.timehist.log,"0,1,2"
busy-cores,optimal,pr,,,3,2,0.313130,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__optimal__pr__r2__perf.timehist.log,"0,1,2"
busy-cores,optimal,pr,,,3,3,0.333100,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__optimal__pr__r3__perf.timehist.log,"0,1,2"
busy-cores,optimal,pr,,,3,4,0.317270,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__optimal__pr__r4__perf.timehist.log,"0,1,2"
busy-cores,optimal,pr,,,3,5,0.366140,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__optimal__pr__r5__perf.timehist.log,"0,1,2"
busy-cores,same-chiplet,pr,taskset-0-6,taskset -c 0-6,3,1,0.318870,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-0-6__r1__perf.timehist.log,"0,1,2"
busy-cores,same-chiplet,pr,taskset-0-6,taskset -c 0-6,3,2,0.325610,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-0-6__r2__perf.timehist.log,"0,1,2"
busy-cores,same-chiplet,pr,taskset-0-6,taskset -c 0-6,3,3,0.381400,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-0-6__r3__perf.timehist.log,"0,1,2"
