timestamp_utc	host	arch	backend	mode	event_name	perf_scope	assignment_label	instance_count	instance_id	cpu_core	operation	operations	average_us	min_us	max_us	p50_us	p95_us	p99_us	p99_9_us	p99_99_us	status	run_stdout_log	result_dir
2026-03-14T06:05:25Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x1	12	5	35	CLEANUP	1	24840.0	24832.0	24847.0	24847.0	24847.0	24847.0	24847.0	24847.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1/inst05/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1
2026-03-14T06:05:25Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x1	12	6	42	READ	1000000	14.03611	1.0	20687.0	10.0	28.0	35.0	45.0	4075.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1/inst06/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1
2026-03-14T06:05:25Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x1	12	6	42	CLEANUP	1	26696.0	26688.0	26703.0	26703.0	26703.0	26703.0	26703.0	26703.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1/inst06/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1
2026-03-14T06:05:25Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x1	12	7	49	READ	1000000	14.026367	1.0	20079.0	11.0	28.0	36.0	46.0	4063.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1/inst07/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1
2026-03-14T06:05:25Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x1	12	7	49	CLEANUP	1	24888.0	24880.0	24895.0	24895.0	24895.0	24895.0	24895.0	24895.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1/inst07/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1
2026-03-14T06:05:25Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x1	12	8	56	READ	1000000	13.690063	1.0	16063.0	10.0	24.0	33.0	45.0	4061.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1/inst08/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1
2026-03-14T06:05:25Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x1	12	8	56	CLEANUP	1	27304.0	27296.0	27311.0	27311.0	27311.0	27311.0	27311.0	27311.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1/inst08/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1
2026-03-14T06:05:25Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x1	12	9	63	READ	1000000	13.950504	1.0	20095.0	10.0	28.0	36.0	46.0	4063.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1/inst09/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1
2026-03-14T06:05:25Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x1	12	9	63	CLEANUP	1	26552.0	26544.0	26559.0	26559.0	26559.0	26559.0	26559.0	26559.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1/inst09/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1
2026-03-14T06:05:25Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x1	12	10	70	READ	1000000	13.588581	2.0	12103.0	10.0	27.0	33.0	45.0	4061.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1/inst10/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1
