timestamp_utc	host	arch	backend	mode	event_name	perf_scope	assignment_label	instance_count	operation	hdr_file_count	operations	average_us	min_us	max_us	p50_us	p95_us	p99_us	p99_9_us	p99_99_us	status	result_dir
2026-03-14T06:14:53Z	madracks-mnode5	amd	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	CLEANUP	24	24	57.75	45.0	66.0	60.0	65.0	66.0	66.0	66.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/orientdb/chiplet_x2
2026-03-14T06:14:54Z	madracks-mnode5	amd	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	READ	24	240000	112.02850833333333	22.0	20223.0	32.0	144.0	3743.0	8479.0	15727.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/orientdb/chiplet_x2
2026-03-14T06:16:09Z	madracks-mnode5	amd	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x3	36	CLEANUP	36	36	108.30555555555556	53.0	889.0	63.0	828.0	889.0	889.0	889.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/orientdb/chiplet_x3
2026-03-14T06:16:09Z	madracks-mnode5	amd	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x3	36	READ	36	360000	114.049275	22.0	19151.0	32.0	146.0	3945.0	8599.0	14999.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/orientdb/chiplet_x3
2026-03-14T06:17:43Z	madracks-mnode5	amd	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x4	48	CLEANUP	48	48	174.1875	42.0	4539.0	64.0	79.0	4539.0	4539.0	4539.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/orientdb/chiplet_x4
2026-03-14T06:17:43Z	madracks-mnode5	amd	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x4	48	READ	48	480000	114.91603541666667	22.0	19519.0	33.0	148.0	4051.0	8583.0	16071.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/orientdb/chiplet_x4
2026-03-14T06:19:37Z	madracks-mnode5	amd	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x5	60	CLEANUP	60	60	159.46666666666667	51.0	5679.0	66.0	76.0	5679.0	5679.0	5679.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/orientdb/chiplet_x5
2026-03-14T06:19:37Z	madracks-mnode5	amd	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x5	60	READ	60	600000	116.67815333333333	22.0	20287.0	33.0	149.0	4055.0	8591.0	15671.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/orientdb/chiplet_x5
2026-03-14T06:21:53Z	madracks-mnode5	amd	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x6	72	CLEANUP	72	72	218.95833333333334	46.0	6479.0	67.0	314.0	6479.0	6479.0	6479.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/orientdb/chiplet_x6
2026-03-14T06:21:54Z	madracks-mnode5	amd	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x6	72	READ	72	720000	118.94161111111111	21.0	22943.0	34.0	151.0	4065.0	8655.0	16167.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/orientdb/chiplet_x6
2026-03-14T06:24:31Z	madracks-mnode5	amd	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x7	84	CLEANUP	84	84	88.5	53.0	935.0	69.0	79.0	935.0	935.0	935.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/orientdb/chiplet_x7
2026-03-14T06:24:32Z	madracks-mnode5	amd	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x7	84	READ	84	840000	121.29025714285714	22.0	21823.0	34.0	152.0	4069.0	8783.0	16231.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/orientdb/chiplet_x7
2026-03-14T06:29:07Z	madracks-mnode5	amd	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x1	12	CLEANUP	12	12	49648.0	41440.0	54463.0	52063.0	54463.0	54463.0	54463.0	54463.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x1
2026-03-14T06:29:07Z	madracks-mnode5	amd	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x1	12	READ	12	120000	287.20349166666665	35.0	35775.0	114.0	491.0	5415.0	8111.0	14951.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x1
2026-03-14T06:34:33Z	madracks-mnode5	amd	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	CLEANUP	24	24	47301.333333333336	41120.0	55711.0	47423.0	52479.0	55711.0	55711.0	55711.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x2
2026-03-14T06:34:33Z	madracks-mnode5	amd	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	READ	24	240000	273.519	32.0	33087.0	110.0	443.0	5303.0	7919.0	12615.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x2
2026-03-14T06:41:25Z	madracks-mnode5	amd	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x3	36	CLEANUP	36	36	48741.333333333336	37120.0	64319.0	48607.0	58303.0	64319.0	64319.0	64319.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x3
2026-03-14T06:41:25Z	madracks-mnode5	amd	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x3	36	READ	36	360000	270.1099472222222	33.0	35295.0	107.0	432.0	5291.0	8215.0	11567.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x3
2026-03-14T06:49:41Z	madracks-mnode5	amd	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x4	48	CLEANUP	48	48	49970.666666666664	37952.0	57567.0	48959.0	56575.0	57567.0	57567.0	57567.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x4
2026-03-14T06:49:42Z	madracks-mnode5	amd	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x4	48	READ	48	480000	278.83773333333335	34.0	36767.0	112.0	467.0	5323.0	8083.0	16319.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x4
2026-03-14T06:59:04Z	madracks-mnode5	amd	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x5	60	CLEANUP	60	60	51736.53333333333	43520.0	61535.0	51391.0	59967.0	61535.0	61535.0	61535.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x5
2026-03-14T06:59:04Z	madracks-mnode5	amd	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x5	60	READ	60	600000	282.23921	33.0	42687.0	113.0	465.0	5387.0	8179.0	15615.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x5
2026-03-14T07:09:48Z	madracks-mnode5	amd	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x6	72	CLEANUP	72	72	54388.88888888889	41344.0	67903.0	53407.0	63935.0	67903.0	67903.0	67903.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x6
2026-03-14T07:09:48Z	madracks-mnode5	amd	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x6	72	READ	72	720000	293.53192222222225	34.0	39935.0	117.0	503.0	5447.0	8215.0	17135.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x6
2026-03-14T07:22:00Z	madracks-mnode5	amd	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x7	84	CLEANUP	84	84	57859.04761904762	39072.0	395263.0	53695.0	64511.0	395263.0	395263.0	395263.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x7
2026-03-14T07:22:01Z	madracks-mnode5	amd	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x7	84	READ	84	840000	278.1170916666667	34.0	38271.0	105.0	454.0	5403.0	8279.0	17567.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x7
