timestamp_utc	host	arch	backend	mode	execution_model	event_name	perf_scope	assignment_label	instance_count	instance_id	cpu_core	cpu_core_list	operation	operations	average_us	min_us	max_us	p50_us	p95_us	p99_us	p99_9_us	p99_99_us	status	run_stdout_log	result_dir
2026-03-14T23:18:15Z	madracks-mnode5	amd	duckdb_tpch	analytic	per_instance_external	NO_RETIRED_INST_CYCLES	user	chiplet_x1	12	10	70	70	Q21	1	442167.620989494	442167.620989494	442167.620989494	442167.620989494	442167.620989494	442167.620989494	442167.620989494	442167.620989494	ok	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x1/inst10/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x1
2026-03-14T23:18:15Z	madracks-mnode5	amd	duckdb_tpch	analytic	per_instance_external	NO_RETIRED_INST_CYCLES	user	chiplet_x1	12	11	77	77	Q21	1	443584.19300988317	443584.19300988317	443584.19300988317	443584.19300988317	443584.19300988317	443584.19300988317	443584.19300988317	443584.19300988317	ok	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x1/inst11/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x1
2026-03-14T23:18:16Z	madracks-mnode5	amd	duckdb_tpch	analytic	per_instance_external	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	0	0	0	Q21	1	459229.61697215214	459229.61697215214	459229.61697215214	459229.61697215214	459229.61697215214	459229.61697215214	459229.61697215214	459229.61697215214	ok	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x2/inst00/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x2
2026-03-14T23:18:16Z	madracks-mnode5	amd	duckdb_tpch	analytic	per_instance_external	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	1	1	1	Q21	1	456190.3839930892	456190.3839930892	456190.3839930892	456190.3839930892	456190.3839930892	456190.3839930892	456190.3839930892	456190.3839930892	ok	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x2/inst01/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x2
2026-03-14T23:18:16Z	madracks-mnode5	amd	duckdb_tpch	analytic	per_instance_external	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	2	7	7	Q21	1	456650.678999722	456650.678999722	456650.678999722	456650.678999722	456650.678999722	456650.678999722	456650.678999722	456650.678999722	ok	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x2/inst02/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x2
2026-03-14T23:18:16Z	madracks-mnode5	amd	duckdb_tpch	analytic	per_instance_external	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	3	8	8	Q21	1	455268.05700501427	455268.05700501427	455268.05700501427	455268.05700501427	455268.05700501427	455268.05700501427	455268.05700501427	455268.05700501427	ok	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x2/inst03/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x2
2026-03-14T23:18:16Z	madracks-mnode5	amd	duckdb_tpch	analytic	per_instance_external	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	4	14	14	Q21	1	454137.61102827266	454137.61102827266	454137.61102827266	454137.61102827266	454137.61102827266	454137.61102827266	454137.61102827266	454137.61102827266	ok	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x2/inst04/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x2
2026-03-14T23:18:16Z	madracks-mnode5	amd	duckdb_tpch	analytic	per_instance_external	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	5	15	15	Q21	1	453860.4050176218	453860.4050176218	453860.4050176218	453860.4050176218	453860.4050176218	453860.4050176218	453860.4050176218	453860.4050176218	ok	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x2/inst05/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x2
2026-03-14T23:18:16Z	madracks-mnode5	amd	duckdb_tpch	analytic	per_instance_external	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	6	21	21	Q21	1	455359.2560114339	455359.2560114339	455359.2560114339	455359.2560114339	455359.2560114339	455359.2560114339	455359.2560114339	455359.2560114339	ok	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x2/inst06/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x2
2026-03-14T23:18:16Z	madracks-mnode5	amd	duckdb_tpch	analytic	per_instance_external	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	7	22	22	Q21	1	453746.4060122147	453746.4060122147	453746.4060122147	453746.4060122147	453746.4060122147	453746.4060122147	453746.4060122147	453746.4060122147	ok	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x2/inst07/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_duckdb_tpch_sf1_single_thread_q21_madracks-mnode5_20260314T231814Z_2017190/runs/duckdb_tpch/chiplet_x2
