noise_nthreads	noise_config_file	noise_stdout_log	noise_stderr_log	noise_latency_output	ycsb_bundle_dir	timestamp_utc	host	arch	backend	mode	event_name	perf_scope	size_mb	working_set_mb_per_instance	total_working_set_mb	instance_count	cpu_span	recordcount_per_instance	total_recordcount	operationcount_per_instance	total_operationcount	threads_per_instance	java_active_processor_count_per_instance	fieldcount	fieldlength	approx_value_bytes_per_record	summed_stall_cycles	summed_cycles	summed_instructions	summed_task_clock_ms	summed_instance_throughput_ops_per_sec	group_wall_clock_ms	aggregate_wall_throughput_ops_per_sec	ServerPerfUserTimeMs	ServerPerfKernelTimeMs	ServerPerfCacheRefs	ServerPerfCacheMisses	ServerPerfLLCHitRatio	status	perf_event	workload_file	result_dir
1	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/01t/memory_benchmark.01t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/01t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/01t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/01t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/01t/ycsb_bundle	2026-03-13T20:21:55Z	madracks-snode1	intel	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	8955216800	12343413543	22119611233	4774.710000	2191.060473	4883.287	2047.801000	4340.000000	480.000000	126907461	31431781	0.741218	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_elasticsearch_multi_instance_madracks-snode1_20260313T202104Z_1987797
2	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/02t/memory_benchmark.02t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/02t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/02t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/02t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/02t/ycsb_bundle	2026-03-13T20:22:48Z	madracks-snode1	intel	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	9189605994	12648756116	22410628882	4886.320000	2151.462995	5000.857	1999.657259	4490.000000	440.000000	130295812	34676625	0.724240	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_elasticsearch_multi_instance_madracks-snode1_20260313T202157Z_1988039
3	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/03t/memory_benchmark.03t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/03t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/03t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/03t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/03t/ycsb_bundle	2026-03-13T20:23:43Z	madracks-snode1	intel	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	9306447926	12738417320	22200287948	4916.690000	2129.925453	5035.884	1985.748679	4520.000000	440.000000	130893288	34939747	0.722798	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_elasticsearch_multi_instance_madracks-snode1_20260313T202250Z_1988287
4	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/04t/memory_benchmark.04t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/04t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/04t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/04t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/04t/ycsb_bundle	2026-03-13T20:24:37Z	madracks-snode1	intel	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	9273340605	12779793513	22797156386	4930.430000	2138.122728	5028.187	1988.788404	4540.000000	440.000000	133957681	36418901	0.720396	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_elasticsearch_multi_instance_madracks-snode1_20260313T202345Z_1988534
5	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/05t/memory_benchmark.05t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/05t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/05t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/05t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/05t/ycsb_bundle	2026-03-13T20:25:32Z	madracks-snode1	intel	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	9119313045	12497304450	21931729434	4830.330000	2175.331738	4950.225	2020.110197	4440.000000	430.000000	129038905	36637230	0.701722	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_elasticsearch_multi_instance_madracks-snode1_20260313T202439Z_1988774
6	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/06t/memory_benchmark.06t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/06t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/06t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/06t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/06t/ycsb_bundle	2026-03-13T20:26:28Z	madracks-snode1	intel	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	8983787433	12299393873	21636089195	4770.250000	2196.354052	4903.571	2039.330113	4320.000000	490.000000	125455651	36810421	0.691186	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_elasticsearch_multi_instance_madracks-snode1_20260313T202534Z_1989022
7	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/07t/memory_benchmark.07t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/07t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/07t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/07t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/07t/ycsb_bundle	2026-03-13T20:27:23Z	madracks-snode1	intel	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	9520663657	13031051867	22991672425	5032.920000	2072.538860	5173.615	1932.884453	4640.000000	440.000000	136095780	39947352	0.695491	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_elasticsearch_multi_instance_madracks-snode1_20260313T202630Z_1989263
8	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/08t/memory_benchmark.08t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/08t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/08t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/08t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/08t/ycsb_bundle	2026-03-13T20:28:20Z	madracks-snode1	intel	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	9363237436	12767872986	22170634852	4945.620000	2122.691573	5070.189	1972.313064	4590.000000	400.000000	130278365	38234896	0.689163	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_elasticsearch_multi_instance_madracks-snode1_20260313T202726Z_1989527
9	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/09t/memory_benchmark.09t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/09t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/09t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/09t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/09t/ycsb_bundle	2026-03-13T20:29:16Z	madracks-snode1	intel	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	9347197629	12775036239	22406610430	4949.320000	2112.378538	5082.848	1967.400953	4550.000000	450.000000	132049378	39083948	0.688647	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_elasticsearch_multi_instance_madracks-snode1_20260313T202822Z_1989781
10	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/10t/memory_benchmark.10t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/10t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/10t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/10t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T202101Z_1987773/runs/10t/ycsb_bundle	2026-03-13T20:30:15Z	madracks-snode1	intel	elasticsearch	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	9525182979	12983326612	22504568570	5031.370000	2075.980901	5167.483	1935.178113	4600.000000	470.000000	132261893	39689727	0.686961	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_elasticsearch_multi_instance_madracks-snode1_20260313T202919Z_1990027
