noise_nthreads	noise_config_file	noise_stdout_log	noise_stderr_log	noise_latency_output	ycsb_bundle_dir	timestamp_utc	host	arch	backend	mode	event_name	perf_scope	size_mb	working_set_mb_per_instance	total_working_set_mb	instance_count	cpu_span	recordcount_per_instance	total_recordcount	operationcount_per_instance	total_operationcount	threads_per_instance	java_active_processor_count_per_instance	fieldcount	fieldlength	approx_value_bytes_per_record	summed_stall_cycles	summed_cycles	summed_instructions	summed_task_clock_ms	summed_instance_throughput_ops_per_sec	group_wall_clock_ms	aggregate_wall_throughput_ops_per_sec	ServerPerfUserTimeMs	ServerPerfKernelTimeMs	ServerPerfCacheRefs	ServerPerfCacheMisses	ServerPerfLLCHitRatio	status	perf_event	workload_file	result_dir
11	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/11t/memory_benchmark.11t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/11t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/11t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/11t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/11t/ycsb_bundle	2026-03-13T20:48:29Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	7348017609	9990857349	17003206525	4256.050000	2636.435539	4404.099	2270.611991	3400.000000	900.000000	86751967	30666544	0.520357	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T204817Z_1995982
12	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/12t/memory_benchmark.12t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/12t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/12t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/12t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/12t/ycsb_bundle	2026-03-13T20:48:44Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	7253999635	9846889991	16716908742	4223.580000	2656.042497	4359.130	2294.035736	3360.000000	910.000000	83308213	30088782	0.510515	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T204832Z_1996217
13	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/13t/memory_benchmark.13t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/13t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/13t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/13t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/13t/ycsb_bundle	2026-03-13T20:48:58Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	7446121029	10097100030	17131635754	4329.100000	2583.979328	4471.774	2236.248970	3490.000000	880.000000	85295005	30350853	0.507579	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T204846Z_1996453
14	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/14t/memory_benchmark.14t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/14t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/14t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/14t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/14t/ycsb_bundle	2026-03-13T20:49:13Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	7312854681	9918721565	16866516301	4293.750000	2577.319588	4467.939	2238.168426	3370.000000	970.000000	86998763	29966692	0.532763	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T204900Z_1996690
15	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/15t/memory_benchmark.15t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/15t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/15t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/15t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/15t/ycsb_bundle	2026-03-13T20:49:28Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	7295815323	9762745933	15818995084	4255.420000	2627.430373	4411.239	2266.936795	3340.000000	960.000000	81308588	29312637	0.494067	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T204915Z_1996938
16	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/16t/memory_benchmark.16t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/16t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/16t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/16t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/16t/ycsb_bundle	2026-03-13T20:49:42Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	7378147588	9925952462	16376792791	4331.510000	2567.394095	4507.330	2218.608356	3410.000000	960.000000	85803332	30276688	0.517408	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T204930Z_1997178
17	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/17t/memory_benchmark.17t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/17t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/17t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/17t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/17t/ycsb_bundle	2026-03-13T20:49:57Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	7502921191	10094869895	16699200239	4411.310000	2530.364372	4576.441	2185.104102	3440.000000	1010.000000	84448854	29654095	0.511591	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T204945Z_1997418
18	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/18t/memory_benchmark.18t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/18t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/18t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/18t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/18t/ycsb_bundle	2026-03-13T20:50:13Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	7631337639	10226917351	16712067640	4484.640000	2487.562189	4642.583	2153.973338	3530.000000	1000.000000	85090476	29394572	0.525272	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T205000Z_1997660
19	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/19t/memory_benchmark.19t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/19t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/19t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/19t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/19t/ycsb_bundle	2026-03-13T20:50:28Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	8315477016	11182149328	18550126743	4871.330000	2267.059624	5035.801	1985.781408	3880.000000	1040.000000	87897162	30400400	0.527432	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T205015Z_1997903
20	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/20t/memory_benchmark.20t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/20t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/20t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/20t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/20t/ycsb_bundle	2026-03-13T20:50:44Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	7998081046	10590444202	16652160931	4680.430000	2386.634845	4836.992	2067.400566	3730.000000	990.000000	78763191	27807509	0.510908	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T205031Z_1998147
