target_pct,rate,measured_total_noise_bandwidth_mbs,measured_ccd0_noise_bandwidth_mbs,measured_ccd1_noise_bandwidth_mbs,measured_ccd2_noise_bandwidth_mbs,measured_ccd3_noise_bandwidth_mbs
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
25,500,25083.950000,6271.140000,6274.270000,6266.180000,6272.360000
50,220,58120.300000,14516.640000,14531.780000,14531.770000,14540.110000
75,0,108682.480000,26970.910000,27211.320000,27285.300000,27214.950000
100,50,135745.090000,33103.820000,34334.500000,34598.470000,33708.300000
