benchmark,policy,skewness,rotation,repeat,combo_id,combo_counts,skew_map,workload_core_map,noise_rate_map,ccd0_noise_bandwidth_mbs,ccd1_noise_bandwidth_mbs,ccd2_noise_bandwidth_mbs,ccd3_noise_bandwidth_mbs,total_noise_bandwidth_mbs,trial_time_s,slowdown_vs_skew0
pr,same-chiplet,25,2,1,same-chiplet-rot1,"ccd0=0,ccd1=4,ccd2=4,ccd3=1","ccd0=55,ccd1=60,ccd2=40,ccd3=45","ccd0:;ccd1:7,8,9,10;ccd2:14,15,16,17;ccd3:21",ccd0:176;ccd1:132;ccd2:332;ccd3:276,17909.910000,23553.360000,9206.950000,11640.200000,62310.420000,23.295700,1.217869
pr,same-chiplet,25,2,1,same-chiplet-rot2,"ccd0=4,ccd1=4,ccd2=1,ccd3=0","ccd0=55,ccd1=60,ccd2=40,ccd3=45","ccd0:0,1,2,3;ccd1:7,8,9,10;ccd2:14;ccd3:",ccd0:176;ccd1:132;ccd2:332;ccd3:276,17852.170000,23581.490000,9211.760000,11646.640000,62292.060000,26.032530,1.360947
pr,same-chiplet,25,2,1,same-chiplet-rot3,"ccd0=4,ccd1=1,ccd2=0,ccd3=4","ccd0=55,ccd1=60,ccd2=40,ccd3=45","ccd0:0,1,2,3;ccd1:7;ccd2:;ccd3:21,22,23,24",ccd0:176;ccd1:132;ccd2:332;ccd3:276,17863.150000,23725.210000,9211.660000,11629.870000,62429.890000,19.572850,1.023243
pr,same-chiplet,50,2,1,same-chiplet-rot0,"ccd0=1,ccd1=0,ccd2=4,ccd3=4","ccd0=60,ccd1=70,ccd2=30,ccd3=40","ccd0:0;ccd1:;ccd2:14,15,16,17;ccd3:21,22,23,24",ccd0:132;ccd1:44;ccd2:444;ccd3:332,23665.710000,32742.440000,7008.710000,9208.520000,72625.380000,18.426450,0.963311
pr,same-chiplet,50,2,1,same-chiplet-rot1,"ccd0=0,ccd1=4,ccd2=4,ccd3=1","ccd0=60,ccd1=70,ccd2=30,ccd3=40","ccd0:;ccd1:7,8,9,10;ccd2:14,15,16,17;ccd3:21",ccd0:132;ccd1:44;ccd2:444;ccd3:332,23649.190000,26854.690000,7009.410000,9213.660000,66726.950000,22.977570,1.201237
pr,same-chiplet,50,2,1,same-chiplet-rot2,"ccd0=4,ccd1=4,ccd2=1,ccd3=0","ccd0=60,ccd1=70,ccd2=30,ccd3=40","ccd0:0,1,2,3;ccd1:7,8,9,10;ccd2:14;ccd3:",ccd0:132;ccd1:44;ccd2:444;ccd3:332,23392.570000,27077.640000,7012.050000,9216.380000,66698.640000,33.584640,1.755761
pr,same-chiplet,50,2,1,same-chiplet-rot3,"ccd0=4,ccd1=1,ccd2=0,ccd3=4","ccd0=60,ccd1=70,ccd2=30,ccd3=40","ccd0:0,1,2,3;ccd1:7;ccd2:;ccd3:21,22,23,24",ccd0:132;ccd1:44;ccd2:444;ccd3:332,23018.130000,31352.240000,7014.390000,9213.940000,70598.700000,23.961110,1.252655
pr,same-chiplet,75,2,1,same-chiplet-rot0,"ccd0=1,ccd1=0,ccd2=4,ccd3=4","ccd0=65,ccd1=80,ccd2=20,ccd3=35","ccd0:0;ccd1:;ccd2:14,15,16,17;ccd3:21,22,23,24",ccd0:88;ccd1:10;ccd2:400;ccd3:388,31712.530000,28688.960000,7738.530000,8330.310000,76470.330000,19.218040,1.004694
pr,same-chiplet,75,2,1,same-chiplet-rot1,"ccd0=0,ccd1=4,ccd2=4,ccd3=1","ccd0=65,ccd1=80,ccd2=20,ccd3=35","ccd0:;ccd1:7,8,9,10;ccd2:14,15,16,17;ccd3:21",ccd0:88;ccd1:10;ccd2:400;ccd3:388,33849.640000,24247.120000,7737.010000,8331.830000,74165.600000,20.020200,1.046630
pr,same-chiplet,75,2,1,same-chiplet-rot2,"ccd0=4,ccd1=4,ccd2=1,ccd3=0","ccd0=65,ccd1=80,ccd2=20,ccd3=35","ccd0:0,1,2,3;ccd1:7,8,9,10;ccd2:14;ccd3:",ccd0:88;ccd1:10;ccd2:400;ccd3:388,28565.400000,24312.480000,7740.940000,8333.570000,68952.390000,28.068340,1.467376
pr,same-chiplet,75,2,1,same-chiplet-rot3,"ccd0=4,ccd1=1,ccd2=0,ccd3=4","ccd0=65,ccd1=80,ccd2=20,ccd3=35","ccd0:0,1,2,3;ccd1:7;ccd2:;ccd3:21,22,23,24",ccd0:88;ccd1:10;ccd2:400;ccd3:388,28353.320000,28033.190000,7740.300000,8337.840000,72464.650000,24.299520,1.270347
pr,same-chiplet,100,2,1,same-chiplet-rot0,"ccd0=1,ccd1=0,ccd2=4,ccd3=4","ccd0=75,ccd1=100,ccd2=0,ccd3=25","ccd0:0;ccd1:;ccd2:14,15,16,17;ccd3:21,22,23,24",ccd0:0;ccd1:50;ccd2:0;ccd3:500,25874.050000,34299.870000,22620.710000,6263.990000,89058.620000,21.108060,1.103502
pr,same-chiplet,100,2,1,same-chiplet-rot1,"ccd0=0,ccd1=4,ccd2=4,ccd3=1","ccd0=75,ccd1=100,ccd2=0,ccd3=25","ccd0:;ccd1:7,8,9,10;ccd2:14,15,16,17;ccd3:21",ccd0:0;ccd1:50;ccd2:0;ccd3:500,26803.870000,26807.530000,22408.990000,6266.280000,82286.670000,27.506080,1.437982
pr,same-chiplet,100,2,1,same-chiplet-rot2,"ccd0=4,ccd1=4,ccd2=1,ccd3=0","ccd0=75,ccd1=100,ccd2=0,ccd3=25","ccd0:0,1,2,3;ccd1:7,8,9,10;ccd2:14;ccd3:",ccd0:0;ccd1:50;ccd2:0;ccd3:500,21424.750000,26917.230000,26530.420000,6267.250000,81139.650000,28.809210,1.506108
pr,same-chiplet,100,2,1,same-chiplet-rot3,"ccd0=4,ccd1=1,ccd2=0,ccd3=4","ccd0=75,ccd1=100,ccd2=0,ccd3=25","ccd0:0,1,2,3;ccd1:7;ccd2:;ccd3:21,22,23,24",ccd0:0;ccd1:50;ccd2:0;ccd3:500,21921.140000,32307.920000,27002.560000,6263.870000,87495.490000,21.803900,1.139879
